Key;English;Norwegian;Spanish
addasref;Add as Ref;Legg til som ref.;Añadir como Ref.
advanced;Advanced;Avansert;Avanzado
all;All;Alle;Todos
alleles;alleles;alleler;alelos
AMEL;Amelogenin;Amelogenin;Amel (amelogenina)
AMELincluded;AMEL included;AMEL included;AMEL included
analyticalthreshold;Analytical threshold (AT);Analytisk grense (AT);Umbral analítico (AT)
and;and;og;e
attachments;Attachments;Tilleggsopplysninger;adjuntos
both;Both;Begge;ambos
BWstuttermodel;BW stutter model (EFM);BW stuttermodel (EFM);Modelar BW Stutter (EFM)
calculate;Calculate;Beregn;calcular
calccons;Calc. CONS;Beregn. CONS;Calc. CONS
case;Case;Sak;caso
casefolder;Case Folder;Saksmappe;Carpeta del caso
caseid;Case ID;Saksnr;Número de caso
changeview;Change view;Endre visning;cambiar vista
compare;Compare;Sammenlign;Comparar
comparison;Comparison;Sammenligning;Comparación
comparisons;Comparisons;Sammenligninger;Comparaciones
Component;Component;Component;Componente
concordance;Concordance;Samsvar;Concordancia  
concordantevidences;Concordance of crime scene profiles;Spor-Spor sammenligning;Evidencias Concordantes
concordantreferences;Concordance of reference profiles (IBS);Referanse-mot-referanse sammenligning (IBS);Referencias Concordantes (IBS)
Conditionals;Conditional(s);Betingede;Condicional(es)
condref;condRef;CondRef;condicionar a referencia
condtionON;Condition on;Beting på;condicionar a
consensusprofiles;Consensus profiles;Konsensusprofiler;Perfiles consenso
create;Create;Lag;crear
created;Created;Laget;creado
data;Data;Data;Datos
data.concordance;Calc. Evid concordance;Beregn Spor-Spor;Concordancia entre evidencias
data.editrefs;Add/Edit Refs;Legg til/endre Refs;Añadir/Editar refs.
data.evidref;Evidence profile(s) and Reference profile(s);Sporprofile(r) og Referanseprofile(r);Perfiles de evidencias y perfiles de referencia
data.select;Selected profile(s);Valgte profile(r);Perfiles seleccionados
data.sortevid;Sort Evids by;Sorter Spor mhp;Ord. evids por
data.sortref;Sort Refs by;Sorter Refs mhp;Ord. refs por
deconvoluted;Deconvoluted;Dekonvolvert;Perfiles Separados
deconvolution;deconvolution;Dekonvolusjon;Separación de perfiles
deconvolve;Deconvolve;Dekonvolver;Separar perfiles
deconvolvemixtures;Deconvolve all;Dekonvolver alt;Separar todas las mezclas 
degradationmodel;Degradation model (EFM);Degraderingsmodell (EFM);Modelar degradación (EFM)
delete;Delete;Fjerne;Borrar
deletefrom;Delete from;Fjerne fra;Borrar de
delta;Default sampler variation;Sampler-variasjon;Default sampler variation
dir;Directory;Område;Directorio
donttruncate;Don't truncate;Ikke trunker;No truncar
dropinpeakheightlambda;Dropin peak height Lambda (EFM);Dropinhøydesannsynlighet (EFM);Lambda de altura de pico drop-in (EFM)
dropinprob;Dropin probability;Dropinsannsynlighet;Probabilidad de Drop-in
empty;Empty;Tom;vacío
EPG;EPG;Elektropherogram;Electro
error;error;feil;error
evidence;Evidence;Spor;Evidencia
evidences;Evidence(s);Spor;Evidencia(s)
export;Export;Eksporter;exportar
expPHplot;Expected PH plot;Forventet høydefigur;Gráfico de alturas alélicas esperadas
extractedprofiles;Extracted profiles;Ekstraherte profiler;Extracted profiles
file;File;Fil;Archivo
fileexport;File export;Fileksportering;Exportar archivo
finalmatchlist;Final Match List;Endelig Matchlist;Lista de Matches final
folder;Folder;Mappe;Carpeta
forr;for;for;para 
fstsetting;Fst/Theta correction (WoE);Fst/Theta korreksjon (bevisvekting);Corrección Fst/Theta (WoE)
functionalities;Functionalities;Funksjonaliteter;Funcionalidades
further;Further;Videre;más
FWstuttermodel;FW stutter model (EFM);FW stutter model (EFM);Modelar FW Stutter (EFM)
Genotype;Genotype;Genotype;Genotipo
gui;GUI;GUI;gui
header;Header;Overskrift;Encabezado
hypothesisset;Hypothesis set;Hypotesesett;Hipótesis
IBS;IBS;Ref-Ref;IBS (idéntico por estado)
import;Import;Importer;importar
importfun;script with importData function;skript med importData funksjon;ImportData function (script para importar datos)
importref;Import Ref(s);Importer Refs;Importar Ref(s)
include;Include;Legg til;Incluir
kit;Kit;Kit;kit
language;language;Språk;idioma
layout;layout;visning;Diseño
list;List;Liste;Lista
logLR;log10 LR;log10 LR;log10 LR
LR;LR;LR;LR
LRbayes;Bayes;Bayes;Bayes
LRcons;Conservative;Konservativ;Conservative
